player_id,player_name,team,position,age,matches_played,goals,assists,pass_accuracy,distance_covered_km,sprint_speed_kmh,tackles,yellow_cards,red_cards,market_value_million_eur,rating
91,Pablo Larsson,Chelsea,MIDFIELDER,20,21,3,5,81.7,13.06,28.0,13,4,1,18.8,7.76
161,Marco Kovac,Atletico Madrid,Goalkeeper,24,28,0,0,76.9,10.31,32.1,21,4,0,47.6,7.22
44,Elias Morales,Liverpool,Defender,20,31,1,6,85.1,11.95,32.1,15,1,0,5.2,7.21
135,Noah Rossi,Inter Milan,Forward,24,27,14,12,83.2,9.66,32.1,8,2,0,34.2,6.33
49,Theo Ivanov,Manchester City,Midfielder,18,31,3,10,83.3,9.73,35.9,7,4,0,2.8,7.49
180,Kevin Santos,Real Madrid,Midfielder,24,24,0,5,70.6,11.89,32.9,10,3,0,52.9,7.18
60,Samuel Larsson,Chelsea,Midfielder,24,14,1,5,73.4,12.52,33.2,2,1,0,4.4,7.67
16,Noah Weber,Atletico Madrid,Forward,17,28,18,0,79.7,9.54,29.4,23,5,0,19.4,6.36
54,Nico Kovac,Bayern Munich,Goalkeeper,23,23,0,0,90.4,10.34,27.3,10,5,0,122.5,5.45
21,Owen Haas,Manchester City,Defender,28,26,3,3,85.5,10.28,31.2,3,3,0,9.5,7.44
15,Kevin Nakamura,Napoli  ,Goalkeeper,26,8,0,0,78.4,11.89,30.6,1,2,1,4.2,6.02
121,Omar Nakamura,Manchester City,Midfielder,27,26,6,16,89.9,9.57,27.8,6,5,0,8.1,6.98
77,Kai Larsson,Real Madrid,Defender,19,37,0,0,77.0,11.45,30.3,37,2,0,4.6,6.99
10,Felix Kovac,Liverpool  ,Midfielder,24,25,6,2,82.8,10.35,33.3,4,8,0,1.0,6.32
106,Mateo Kovac,Bayern Munich,Forward,19,26,8,0,89.6,11.23,29.6,7,1,0,34.4,6.44
108,Nico Haas,Manchester City,Defender,27,35,0,2,84.1,10.6,32.9,16,2,0,4.8,7.58
148,Rico Larsson,Bayern Munich,Midfielder,26,24,0,7,72.6,10.72,29.0,6,6,0,12.1,6.37
13,Lucas Kovac,Chelsea,Defender,29,21,0,0,87.0,10.33,32.6,24,3,0,18.6,7.14
17,Lucas Nakamura,Liverpool,Goalkeeper,19,22,0,1,81.9,8.89,27.8,5,4,0,14.2,8.21
48,Rico Okafor,Manchester City,Goalkeeper,25,22,0,0,83.6,10.81,32.4,6,3,0,4.4,6.89
59,Samuel Weber,Liverpool,Goalkeeper,26,20,0,0,78.0,11.22,32.7,5,2,0,28.5,6.5
173,Kai Hernandez,Inter Milan,Defender,22,37,3,3,94.1,10.3,33.7,22,5,0,16.6,6.67
155,Felix Santos,,Forward,27,21,8,5,82.6,7.09,30.4,0,3,0,15.8,6.9
120,Adrian Santos,Real Madrid,Midfielder,26,25,0,14,83.8,9.89,34.1,0,1,0,6.1,5.61
22,Lucas Garcia,Atletico Madrid,Forward,25,18,7,4,92.3,11.4,30.6,4,0,0,5.5,6.99
19,Marco Nakamura,Atletico Madrid,Goalkeeper,28,20,0,0,79.5,11.53,34.6,7,2,0,22.7,5.73
51,Tariq Ivanov,Liverpool,Midfielder,24,22,6,4,91.5,6.4,34.4,15,4,0,49.4,5.66
100,Owen Silva,Manchester City,Defender,31,27,1,1,98.5,9.03,32.5,4,3,0,5.1,6.31
3,Hugo Santos,Paris SG,Forward,28,14,7,0,72.7,10.48,32.8,4,1,0,5.4,5.85
32,Yusuf Okafor,Barcelona,Midfielder,24,7,1,2,80.0,8.22,32.5,0,1,0,13.2,6.68
171,Bruno Dubois,Paris SG,Defender,19,13,1,2,81.5,8.5,29.2,12,1,0,11.7,7.42
74,Rafael Morales,Liverpool,Defender,25,33,0,2,73.9,8.05,34.6,0,6,0,10.7,7.04
31,Samuel Muller,Barcelona,Midfielder,21,22,0,0,83.4,9.14,27.4,1,3,0,5.1,6.28
174,Andres Kovac,Paris SG,Forward,26,22,10,5,79.5,8.81,29.7,14,1,0,8.3,7.09
34,Noah Kovac,Manchester City,Defender,27,25,3,3,87.3,10.22,,13,4,0,20.7,6.45
141,Bruno Fernandez,Arsenal,Midfielder,27,33,0,11,78.5,10.09,31.9,3,0,0,7.3,6.82
156,Bruno Okafor,Arsenal,Midfielder,21,35,0,7,86.3,10.78,34.7,11,3,0,36.9,7.9
165,Rafael Garcia,Bayern Munich,Forward,26,11,7,3,74.9,9.86,30.9,2,4,0,23.6,7.6
124,Yusuf Rossi,Chelsea,FORWARD,26,16,4,1,88.0,10.92,32.8,6,5,0,7.9,6.7
162,Mateo Larsson,Napoli,Defender,23,18,0,4,85.7,10.78,35.0,12,3,0,19.1,6.06
101,Theo Santos,Barcelona,Forward,24,20,2,8,83.5,13.24,33.4,9,2,0,9.1,7.78
147,Andres Fernandez,Napoli,Midfielder,20,33,4,5,83.1,10.9,33.8,24,3,0,8.5,5.8
170,Rafael Weber,Barcelona,Forward,26,26,7,4,77.4,9.21,26.7,4,1,0,12.7,7.09
62,Leo Okafor,Borussia Dortmund,Defender,22,38,1,0,82.9,9.25,33.1,14,2,0,9.0,5.35
36,Jude Morales,Arsenal  ,Defender,27,29,0,1,86.3,12.59,33.1,34,5,0,9.4,6.35
11,Nico Muller,Paris SG,Midfielder,21,14,3,7,85.0,11.52,28.8,4,2,1,,6.66
179,Theo Kovac,Barcelona,MIDFIELDER,25,30,2,3,88.7,11.43,,1,2,0,11.0,7.18
72,Adrian Okafor,Manchester City,Midfielder,17,31,5,2,87.6,9.64,30.3,3,4,0,9.7,7.25
117,Rico Morales,Napoli,Forward,24,30,19,0,91.1,7.87,33.6,19,2,0,10.2,7.27
94,Gabriel Adeyemi,Liverpool,Forward,27,23,17,0,82.0,12.39,27.9,0,2,0,,6.55
119,Gabriel Hernandez,,GOALKEEPER,17,12,0,0,78.9,8.67,30.9,1,4,0,35.3,6.15
145,Tariq Morales,Borussia Dortmund,Forward,24,27,17,1,83.4,12.05,35.5,7,4,0,4.9,6.19
2,Theo Fernandez,Bayern Munich,Defender,24,26,1,3,79.9,10.16,31.2,21,1,0,27.1,6.14
84,Mateo Okafor,Real Madrid,Goalkeeper,27,24,0,0,77.5,6.16,31.7,8,3,0,6.6,6.67
178,Omar Ivanov,,Defender,30,29,3,1,86.7,10.34,34.2,10,1,1,26.3,7.1
88,Noah Larsson,Manchester City,Midfielder,23,32,5,4,80.6,9.67,30.8,10,5,0,33.4,6.72
138,Andres Adeyemi,Manchester City,Forward,29,26,8,10,91.6,10.53,31.2,0,3,0,13.4,7.17
5,Omar Muller,Napoli  ,DEFENDER,21,30,0,3,72.3,9.81,30.9,27,3,0,58.0,7.29
39,Felix Weber,Barcelona  ,Defender,27,25,2,0,65.7,10.45,37.6,13,6,0,14.0,6.0
162,Mateo Larsson,Napoli,Defender,23,18,0,4,85.7,10.78,35.0,12,3,0,19.1,6.06
35,Omar Garcia,Paris SG,Defender,26,38,0,2,83.1,10.83,32.6,31,5,0,11.8,7.12
113,Ivan Adeyemi,Arsenal,Defender,19,23,0,3,82.6,8.16,30.2,8,5,0,6.1,6.96
153,Tariq Costa,Atletico Madrid,Forward,28,22,15,5,99.0,10.13,32.0,2,4,0,6.5,5.34
57,Yusuf Nakamura,Inter Milan,Forward,25,24,18,5,82.3,8.3,32.9,11,3,1,94.3,7.53
70,Malik Silva,Arsenal  ,Defender,25,16,0,3,95.8,9.9,31.2,11,2,0,7.0,7.1
45,Gabriel Pereira,Bayern Munich,Midfielder,26,28,5,0,90.0,9.56,33.7,18,5,0,7.4,6.79
20,Pablo Diallo,Borussia Dortmund,Midfielder,20,30,7,15,82.1,11.15,30.2,11,4,0,12.0,7.49
7,Lucas Silva,Bayern Munich,Defender,23,19,0,3,81.9,10.16,33.0,4,3,1,9.0,6.75
56,Rafael Adeyemi,Real Madrid,FORWARD,25,34,5,0,85.2,10.54,31.8,19,7,0,19.7,6.7
76,Owen Kovac,Napoli,Midfielder,22,26,0,9,81.9,10.97,31.6,18,0,0,15.0,7.13
1,Yusuf Santos,Bayern Munich,Defender,20,26,1,4,77.9,9.46,,7,3,0,5.9,5.95
136,Diego Garcia,Atletico Madrid,Forward,26,36,14,0,89.6,10.45,33.4,9,3,0,6.8,6.99
128,Omar Dubois,Arsenal,Goalkeeper,25,30,0,0,77.4,9.77,27.6,0,6,1,17.1,6.45
69,Kevin Silva,Arsenal,MIDFIELDER,27,24,1,1,,7.95,32.3,0,6,1,10.1,6.53
168,Jude Okafor,,FORWARD,31,30,16,8,82.3,10.98,24.7,5,2,0,65.4,7.74
137,Tariq Pereira,Inter Milan,FORWARD,18,27,25,0,83.3,9.27,32.1,7,3,0,47.1,7.51
43,Felix Fernandez,Inter Milan,Forward,24,22,12,7,72.7,9.69,30.8,9,1,0,6.7,7.23
111,Ivan Haas,Inter Milan,Defender,18,20,1,3,73.4,11.3,30.8,1,2,0,4.9,6.73
90,Enzo Fernandez,Chelsea,Forward,21,16,11,3,76.5,9.68,28.5,3,4,0,16.6,6.26
73,Bruno Muller,Borussia Dortmund,Defender,24,24,0,0,93.2,9.01,28.5,0,2,0,59.0,7.41
24,Noah Santos,Borussia Dortmund,DEFENDER,21,17,0,0,76.6,9.51,30.9,6,2,0,3.2,6.73
143,Gabriel Kovac,Barcelona,Defender,30,19,0,1,79.7,13.42,32.2,10,2,0,6.3,7.12
93,Mateo Haas,Chelsea,GOALKEEPER,28,16,0,0,79.0,10.56,27.5,8,3,0,49.5,6.33
104,Noah Costa,Inter Milan,Midfielder,30,1,0,0,83.5,8.01,34.2,1,0,0,15.9,7.27
152,Gabriel Silva,Inter Milan,Defender,19,21,2,4,71.7,8.62,30.3,18,3,0,32.5,6.35
68,Yusuf Kovac,Manchester City,Forward,28,1,0,0,79.5,8.63,27.8,0,3,0,2.0,6.95
26,Pablo Santos,Paris SG,Defender,26,18,0,0,75.4,10.67,30.4,0,4,0,10.6,6.46
176,Rico Dubois,Atletico Madrid,Goalkeeper,27,31,0,1,86.3,12.84,31.3,6,4,0,23.3,7.22
